klyuch,hozyaistvo,vino,vivino_id,vivino_adres,vivino_status,etiketok,v_knige,est_u_kritikov,rejon,vinogorje,rejon_istochnik,cvet
aleksandrovic-varijanta,Aleksandrović,Varijanta,1171280,https://www.vivino.com/w/1171280,ocenka_est,3739,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,розе
aleksandrovic-varijanta-white-selection,Aleksandrović,Varijanta White Selection,9747837,https://www.vivino.com/w/9747837,ocenka_est,119,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,белое
aleksandrovic-vizija,Aleksandrović,Vizija,,,net_na_vivino,,False,True,Šumadijski rejon,Oplenačko vinogorje,konkurs,красное
aleksandrovic-vizija-balavaud,Aleksandrović,Vizija Balavaud,,,net_na_vivino,,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,красное
aleksandrovic-vizija-reserve,Aleksandrović,Vizija Reserve,1288324,https://www.vivino.com/w/1288324,ocenka_est,1502,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,красное
aleksandrovic-vizija-selection,Aleksandrović,Vizija Selection,6645033,https://www.vivino.com/w/6645033,ocenka_est,3403,False,True,Šumadijski rejon,Oplenačko vinogorje,konkurs,красное
aleksandrovic-vozd,Aleksandrović,Vožd,,,net_na_vivino,,False,True,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,красное
aleksandrovic-vozd-cabernet-sauvignon,Aleksandrović,Vožd Cabernet Sauvignon,8905313,https://www.vivino.com/w/8905313,ocenka_est,1012,False,True,Šumadijski rejon,Oplenačko vinogorje,konkurs,красное
aleksandrovic-white-blend,Aleksandrović,White Blend,12586946,https://www.vivino.com/w/12586946,malo_ocenok,1,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,белое
aleksandrovic-aberdar-superior,Aleksandrović,Абердар Superior,13366385,https://www.vivino.com/w/13366385,ocenka_est,91,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,белое
aleksic-amanet,Aleksić,Amanet,,,net_na_vivino,,False,False,Vranjski rejon,,konkurs,красное
